timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/11 20:14:47.530, 27574 MiB, 4533 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 551.90 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:15:17.542, 27575 MiB, 4532 MiB, 99 %, 32 %, 81, 2820 MHz, 3090 MHz, 552.79 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:15:47.554, 27575 MiB, 4532 MiB, 97 %, 22 %, 81, 2820 MHz, 3090 MHz, 551.65 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:16:17.566, 27543 MiB, 4564 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 551.36 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:16:47.577, 27543 MiB, 4564 MiB, 99 %, 31 %, 79, 2820 MHz, 3090 MHz, 551.93 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:17:17.588, 27543 MiB, 4564 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 551.05 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:17:47.599, 27543 MiB, 4564 MiB, 91 %, 35 %, 82, 2820 MHz, 3090 MHz, 551.41 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:18:17.612, 27543 MiB, 4564 MiB, 96 %, 30 %, 81, 2812 MHz, 3090 MHz, 551.32 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:18:47.623, 27543 MiB, 4564 MiB, 99 %, 32 %, 82, 2820 MHz, 3090 MHz, 553.12 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:19:17.634, 27543 MiB, 4564 MiB, 98 %, 30 %, 82, 2820 MHz, 3090 MHz, 551.46 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:19:47.646, 27544 MiB, 4563 MiB, 99 %, 32 %, 81, 2820 MHz, 3090 MHz, 565.79 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:20:17.658, 27544 MiB, 4563 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 562.62 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:20:47.670, 27544 MiB, 4563 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 567.86 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:21:17.681, 27544 MiB, 4563 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 563.30 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:21:47.692, 27544 MiB, 4563 MiB, 99 %, 32 %, 81, 2805 MHz, 3090 MHz, 556.68 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:22:17.703, 27544 MiB, 4563 MiB, 80 %, 37 %, 81, 2805 MHz, 3090 MHz, 563.63 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:22:47.715, 27544 MiB, 4563 MiB, 99 %, 32 %, 80, 2805 MHz, 3090 MHz, 563.42 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 20:23:17.727, 27544 MiB, 4563 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 567.29 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:23:47.739, 27544 MiB, 4563 MiB, 96 %, 30 %, 83, 2812 MHz, 3090 MHz, 563.51 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:24:17.750, 27544 MiB, 4563 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 567.03 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:24:47.763, 27544 MiB, 4563 MiB, 96 %, 31 %, 82, 2820 MHz, 3090 MHz, 519.05 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:25:17.774, 27543 MiB, 4564 MiB, 99 %, 32 %, 83, 2805 MHz, 3090 MHz, 565.08 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:25:47.785, 27543 MiB, 4564 MiB, 83 %, 28 %, 83, 2805 MHz, 3090 MHz, 564.01 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:26:17.799, 27543 MiB, 4564 MiB, 99 %, 32 %, 81, 2805 MHz, 3090 MHz, 564.82 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:26:47.812, 27546 MiB, 4561 MiB, 81 %, 34 %, 81, 2812 MHz, 3090 MHz, 490.21 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:27:17.824, 27546 MiB, 4561 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 562.01 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:27:47.836, 27546 MiB, 4561 MiB, 98 %, 27 %, 83, 2812 MHz, 3090 MHz, 563.57 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:28:17.847, 27544 MiB, 4563 MiB, 99 %, 31 %, 83, 2812 MHz, 3090 MHz, 563.32 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:28:47.857, 27544 MiB, 4563 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 547.13 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:29:17.868, 27544 MiB, 4563 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 564.34 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:29:47.880, 27544 MiB, 4563 MiB, 99 %, 32 %, 83, 2805 MHz, 3090 MHz, 564.23 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:30:17.891, 27543 MiB, 4564 MiB, 89 %, 38 %, 81, 2812 MHz, 3090 MHz, 565.33 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:30:47.902, 27543 MiB, 4564 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 563.77 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:31:17.915, 27543 MiB, 4564 MiB, 91 %, 34 %, 80, 2812 MHz, 3090 MHz, 559.81 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:31:47.927, 27543 MiB, 4564 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 563.54 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:32:17.937, 27543 MiB, 4564 MiB, 99 %, 30 %, 80, 2820 MHz, 3090 MHz, 562.81 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:32:47.950, 27543 MiB, 4564 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 566.01 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:33:17.963, 27543 MiB, 4564 MiB, 98 %, 29 %, 80, 2812 MHz, 3090 MHz, 562.43 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:33:47.973, 27543 MiB, 4564 MiB, 96 %, 30 %, 83, 2842 MHz, 3090 MHz, 517.83 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:34:17.985, 27543 MiB, 4564 MiB, 99 %, 32 %, 80, 2812 MHz, 3090 MHz, 563.75 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:34:47.996, 27543 MiB, 4564 MiB, 96 %, 31 %, 83, 2820 MHz, 3090 MHz, 564.93 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:35:18.009, 27542 MiB, 4565 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 562.64 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:35:48.020, 27542 MiB, 4565 MiB, 98 %, 29 %, 83, 2812 MHz, 3090 MHz, 566.40 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:36:18.032, 27542 MiB, 4565 MiB, 99 %, 32 %, 83, 2805 MHz, 3090 MHz, 563.72 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:36:48.043, 27542 MiB, 4565 MiB, 96 %, 31 %, 83, 2812 MHz, 3090 MHz, 566.65 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:37:18.055, 27542 MiB, 4565 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 564.09 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:37:48.066, 27542 MiB, 4565 MiB, 85 %, 26 %, 79, 2812 MHz, 3090 MHz, 562.98 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:38:18.077, 27542 MiB, 4565 MiB, 99 %, 32 %, 80, 2805 MHz, 3090 MHz, 563.83 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:38:48.089, 27542 MiB, 4565 MiB, 88 %, 26 %, 81, 2812 MHz, 3090 MHz, 562.43 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:39:18.104, 27542 MiB, 4565 MiB, 93 %, 32 %, 79, 2827 MHz, 3090 MHz, 558.44 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:39:48.116, 27542 MiB, 4565 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 565.80 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:40:18.127, 27542 MiB, 4565 MiB, 98 %, 29 %, 82, 2812 MHz, 3090 MHz, 562.39 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:40:48.140, 27542 MiB, 4565 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 563.90 W, P1, 0x0000000000000004, Not Active, Active
